Reporting Period,Permissions,Chart Feature 1,Chart Feature 2,GBP Value,Ratio,Chart,Year
2017Q1,Life,Total eligible own funds to meet SCR,NA,118304879000,NA,Chart 1.1,2017
2017Q1,Life,Total SCR,NA,76362919000,NA,Chart 1.1,2017
2017Q1,Life,SCRCapital_Coverage,NA,NA,154.92451216177,Chart 1.1,2017
2017Q1,Non-Life,Total eligible own funds to meet SCR,NA,61921887000,NA,Chart 1.1,2017
2017Q1,Non-Life,Total SCR,NA,41585369000,NA,Chart 1.1,2017
2017Q1,Non-Life,SCRCapital_Coverage,NA,NA,148.903062245488,Chart 1.1,2017
2017Q2,Life,Total eligible own funds to meet SCR,NA,118566620000,NA,Chart 1.1,2017
2017Q2,Life,Total SCR,NA,75002749000,NA,Chart 1.1,2017
2017Q2,Life,SCRCapital_Coverage,NA,NA,158.08303287033283,Chart 1.1,2017
2017Q2,Non-Life,Total eligible own funds to meet SCR,NA,62619688000,NA,Chart 1.1,2017
2017Q2,Non-Life,Total SCR,NA,41388063000,NA,Chart 1.1,2017
2017Q2,Non-Life,SCRCapital_Coverage,NA,NA,151.2989092938481,Chart 1.1,2017
2017Q3,Life,Total eligible own funds to meet SCR,NA,120441113000,NA,Chart 1.1,2017
2017Q3,Life,Total SCR,NA,74388529000,NA,Chart 1.1,2017
2017Q3,Life,SCRCapital_Coverage,NA,NA,161.90818005588002,Chart 1.1,2017
2017Q3,Non-Life,Total eligible own funds to meet SCR,NA,59647714000,NA,Chart 1.1,2017
2017Q3,Non-Life,Total SCR,NA,40049329000,NA,Chart 1.1,2017
2017Q3,Non-Life,SCRCapital_Coverage,NA,NA,148.93561289572065,Chart 1.1,2017
2017Q4,Life,Total eligible own funds to meet SCR,NA,119390656000,NA,Chart 1.1,2017
2017Q4,Life,Total SCR,NA,76798799000,NA,Chart 1.1,2017
2017Q4,Life,SCRCapital_Coverage,NA,NA,155.45901446769685,Chart 1.1,2017
2017Q4,Non-Life,Total eligible own funds to meet SCR,NA,62058289000,NA,Chart 1.1,2017
2017Q4,Non-Life,Total SCR,NA,40366007000,NA,Chart 1.1,2017
2017Q4,Non-Life,SCRCapital_Coverage,NA,NA,153.73898430286306,Chart 1.1,2017
