h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.552759274996749,7.808872016839569,4.951056088622956,0.4719110357879139,0.2359555178939585,0.15198217462374752,-1.5034234929525843,1.4998926878092103,15.476974323241581,-0.3373762444434664,0.0
1,-0.15198217462374794,-0.15198217462374985,-0.3313147884616099,5.096344167403242e-16,-4.3256673701779676e-17,0.6999999999999995,0.0,0.0,0.0,5.02829535522178,-0.5958309021058006,1.7619252008384754,0.04741958402132237,0.023709792010661992,-0.006080983565661196,-1.025353088748012,0.9160926788883806,9.78695617253027,-0.20478465211399752,0.0
2,0.006080983565661308,0.0060809835656593925,-0.5629038255962754,7.134881834364537e-16,-6.055934318249152e-17,0.4899999999999993,0.0,0.0,0.0,5.374351646159245,-4.411492731052803,0.36589842223868474,-0.10486093843499705,-0.052430469217498284,-0.251294465074754,-0.8200560318087942,0.5090113760454894,5.470272226019484,-0.1115042201771518,0.0
3,0.25129446507475434,0.2512944650747525,-0.7246851681168682,7.491625926082761e-16,-6.358731034161607e-17,0.3429999999999993,0.0,0.0,0.0,5.6223916420441515,-6.027924503265721,-0.1851250160588942,-0.1376436562395461,-0.06882182811977326,-0.49132819328697874,-0.742147509602539,0.2249229972541738,2.2794078595831997,-0.045986146147655255,0.0
4,0.4913281932869792,0.49132819328697747,-0.837601455391084,6.992184197677242e-16,-5.934815631884164e-17,0.24009999999999934,0.0,0.0,0.0,5.798060210286083,-6.621152546143168,-0.3536609417371468,-0.12298359497759996,-0.0614917974888005,-0.6940096396748285,-0.721025739460782,0.026567711613866507,-0.03956480262490336,-2.6322739786435734e-05,0.0
5,0.6940096396748291,0.6940096396748274,-0.916312534645326,6.118161172967584e-16,-5.192963677898641e-17,0.16806999999999941,0.0,0.0,0.0,5.921153657112974,-6.761214081285744,-0.3609657057789297,-0.09356333078635784,-0.04678166539317964,-0.8533582994853885,-0.7231519001141242,-0.11195891773021885,-1.7055020130291716,0.032179247167396084,0.0
6,0.853358299485389,0.8533582994853876,-0.971080298607424,5.13925538529277e-16,-4.362089489434857e-17,0.1176489999999995,0.0,0.0,0.0,6.006469522474875,-6.718118691712844,-0.30968423589674376,-0.06321256670740635,-0.031606283353704065,-0.9736164331236239,-0.7331422080596162,-0.208699573929342,-2.8925503832635213,0.054724508196640514,0.0
7,0.9736164331236243,0.9736164331236228,-1.009088071856537,4.1970585646557604e-16,-3.5623730830384645e-17,0.08235429999999959,0.0,0.0,0.0,6.064845154074338,-6.615128671311304,-0.24505023506133639,-0.03700134995919355,-0.0185006749795978,-1.0620486887005438,-0.7443522576246692,-0.27623805741315194,-3.733286864991556,0.07049109332003997,0.0
8,1.0620486887005443,1.0620486887005427,-1.0353641812680847,3.357646851724607e-16,-2.8498984664307704e-17,0.05764800999999967,0.0,0.0,0.0,6.104110819487211,-6.505025484651439,-0.185163382975025,-0.016129163080566944,-0.008064581540284582,-1.1259290059896145,-0.7542326027347102,-0.32335954803408773,-4.325954761815855,0.0815042335461084,0.0
9,1.1259290059896148,1.1259290059896134,-1.0534284553252,2.644146895733127e-16,-2.2442950423142308e-17,0.04035360699999974,0.0,0.0,0.0,6.129872106283171,-6.407684083146262,-0.13578153599011644,-0.00023835627125556869,-0.00011917813562889457,-1.171464456687858,-0.7620695869103813,-0.35620170642190196,-4.742096222354009,0.08918571202389357,0.0
10,1.1714644566878587,1.1714644566878574,-1.0657447736367434,2.0565586966813206e-16,-1.7455628106888452e-17,0.0282475248999998,0.0,0.0,0.0,6.146116316929526,-6.3283173181293195,-0.09741300695972943,0.011531540977673893,0.005765770488835753,-1.203568334153313,-0.7679093897991327,-0.37905479767445216,-5.033203226318629,0.0945328771532938,0.0
11,1.2035683341533137,1.2035683341533123,-1.0740378515999147,1.5835501964446166e-16,-1.3440833642304102e-17,0.019773267429999845,0.0,0.0,0.0,6.1556668652123205,-6.266141021547686,-0.0686187735919217,0.020093761691971357,0.010046880845984457,-1.2259695607393504,-0.7720624356554142,-0.3949189002031094,-5.236039930207475,0.09824494301938086,0.0
12,1.2259695607393508,1.2259695607393497,-1.0795149896640805,1.209256513648616e-16,-1.02639093268504e-17,0.013841287200999882,0.0,0.0,0.0,6.160516600405095,-6.2183472163071105,-0.04747690228402912,0.026245999756174143,0.01312299987808585,-1.2414259653849589,-0.774887735206285,-0.40589248548229157,-5.376708024593378,0.10081190482275199,0.0
13,1.241425965384959,1.2414259653849578,-1.0830212978154528,9.170195228502002e-17,-7.783464572861549e-18,0.00968890104069991,0.0,0.0,0.0,6.1620689036107015,-6.181819142532635,-0.03217596706131198,0.030627374278337838,0.015313687139167698,-1.251943233881141,-0.7767088105568085,-0.4134436766022261,-5.473665596878454,0.1025770370838305,0.0
14,1.2519432338811414,1.25194323388114,-1.085148352716363,6.912916403024584e-17,-5.867534831849473e-18,0.006782230728489933,0.0,0.0,0.0,6.161310414355527,-6.15378844941509,-0.021210467821109136,0.033726408873166414,0.016863204436581958,-1.2589636694457156,-0.7777889262910235,-0.4185997484599082,-5.539928550234544,0.10378077355372252,0.0
15,1.258963669445716,1.258963669445715,-1.0863102577027548,5.184687302268436e-17,-4.400651123887103e-18,0.00474756150994295,0.0,0.0,0.0,6.158933956717724,-6.132018360327409,-0.013405527896562797,0.03590603437152795,0.01795301718576267,-1.2635164129205405,-0.7783311196504419,-0.4220795838461693,-5.584656549603964,0.10459148999253062,0.0
16,1.263516412920541,1.2635164129205398,-1.0867968847824279,3.8712331856937646e-17,-3.285819505835702e-18,0.0033232930569600627,0.0,0.0,0.0,6.155425615704023,-6.114790800983207,-0.007877060702256022,0.03743098536968076,0.01871549268483913,-1.2663318141160376,-0.7784870722791113,-0.4243862938240575,-5.6142860909880286,0.10512708617496759,0.0
17,1.2663318141160378,1.2663318141160365,-1.0868111440338086,2.8792296818597365e-17,-2.443828257465302e-18,0.002326305139872042,0.0,0.0,0.0,6.151126214607671,-6.100825493600659,-0.003974778247948896,0.03849201994608631,0.019246009973041905,-1.267926188670685,-0.7783678305578374,-0.42587200160497246,-5.6333353229783425,0.10547011065103842,0.0
18,1.267926188670685,1.267926188670684,-1.0864950721850892,2.1340172936136862e-17,-1.811308002591929e-18,0.0016284135979104284,0.0,0.0,0.0,6.1462746161257895,-6.089186686173217,-0.001227464128129574,0.03922544284077745,0.019612721420387447,-1.2686635413155631,-0.778053608108332,-0.4267831655847918,-5.644973370189011,0.10567835692319826,0.0
19,1.2686635413155634,1.2686635413155622,-1.0859480946196245,1.57680166694789e-17,-1.3383553574707025e-18,0.001139889518537299,0.0,0.0,0.0,6.141038169182897,-6.0791991936013545,0.0007028939931239542,0.03972808098832625,0.019864040494161878,-1.2687999918240602,-0.7776018187021955,-0.4272922923845481,-5.651421890833863,0.10579228527744888,0.0
20,1.2687999918240607,1.2687999918240593,-1.0852398087797093,1.1618538598563396e-17,-9.861565791889382e-19,0.0007979226629761088,0.0,0.0,0.0,6.135534091031519,-6.070380112924656,0.002057063369797163,0.040068433589815655,0.02003421679490655,-1.2685154946952026,-0.7770532960967269,-0.4275201293112275,-5.654237711661146,0.10584022036183428,0.0
21,1.2685154946952029,1.2685154946952018,-1.0844189325492228,8.539625869944094e-18,-7.2482508570386925e-19,0.0005585458640832758,0.0,0.0,0.0,6.1298444700489405,-6.062386176049559,0.003005700234326447,0.04029481715546368,0.02014740857773062,-1.2679363596463598,-0.7764369520380183,-0.42755119568260264,-5.654511459523116,0.10584199066175737,0.0
22,1.2679363596463602,1.267936359646359,-1.083519568121479,6.262392304625667e-18,-5.315383961828372e-19,0.0003909821048582928,0.0,0.0,0.0,6.124026785696567,-6.054974426240711,0.00366934383075046,0.04044124028823409,0.020220620144115797,-1.26715117734994,-0.7757731918360515,-0.4274446530231989,-5.653007004574151,0.10581147672910103,0.0
23,1.2671511773499404,1.2671511773499393,-1.0825655867067216,4.582932550203328e-18,-3.889894626610761e-19,0.0002736874734008048,0.0,0.0,0.0,6.118121281664779,-6.047973432785474,0.0041329219167258735,0.040531604319288705,0.020265802159643104,-1.2662220496913599,-0.7750763842386138,-0.4272419133191708,-5.650259274902314,0.10575839524652643,0.0
24,1.2662220496913603,1.266222049691359,-1.0815736978273698,3.3475333410180826e-18,-2.8413143359591636e-19,0.0001915812313805632,0.0,0.0,0.0,6.112156131748867,-6.041262499757331,0.004456164337856672,0.040582688742192674,0.020291344371095088,-1.2651924928587728,-0.7743566305853786,-0.42697196434711376,-5.646642830926256,0.105689548027351,0.0
25,1.265192492858773,1.2651924928587719,-1.0805555978246912,2.4409097278256847e-18,-2.0717917033035558e-19,0.00013410686196639414,0.0,0.0,0.0,6.106151058344256,-6.034756785252828,0.004681024879732876,0.040606263942620624,0.020303131971309063,-1.2640929908620082,-0.7736210237225172,-0.4266550971751214,-5.642419920548441,0.10560969639438111,0.0
26,1.2640929908620084,1.2640929908620073,-1.0795194738134708,1.776982281857098e-18,-1.508264360004988e-19,9.387480337647583e-05,0.0,0.0,0.0,6.10011986660702,-6.028396718276508,0.0048369440074760295,0.040610581791694855,0.02030529089584615,-1.262944893878518,-0.7728745396927901,-0.4263055152967767,-5.6377741448086365,0.10552217328531051,0.0
27,1.2629448938785182,1.262944893878517,-1.0784710564502804,1.2917294279653518e-18,-1.0963921693882406e-19,6.571236236353304e-05,0.0,0.0,0.0,6.094072218984774,-6.022140505673826,0.004944567151193846,0.04060142501453279,0.020300712507265145,-1.261763152641156,-0.7721206672436673,-0.4259331609654508,-5.632834037623599,0.10542931174699186,0.0
28,1.2617631526411563,1.261763152641155,-1.0774143568712664,9.376998810415144e-19,-7.958995007410928e-20,4.59986536544731e-05,0.0,0.0,0.0,6.088014877703529,-6.015958843727554,0.00501836501897257,0.04058284478187518,0.020291422390936342,-1.2605582353355687,-0.7713618511965648,-0.4255449935979967,-5.627689578628064,0.10533274489186997,0.0
29,1.2605582353355689,1.2605582353355675,-1.0763521825486009,6.798324137550977e-19,-5.770271380372919e-20,3.219905755813115e-05,0.0,0.0,0.0,6.0819525746691,-6.009831194232496,0.00506847674037636,0.04055767857011555,0.020278839285056527,-1.2593374708684162,-0.7705998041880846,-0.4251458846418845,-5.622403755742308,0.1052336158728063,0.0
30,1.2593374708684164,1.2593374708684153,-1.0752864983899963,4.922924375467948e-19,-4.178472378890732e-20,2.253934029069179e-05,0.0,0.0,0.0,6.075888620479945,-6.003743166515178,0.005102004614591982,0.04052791345107837,0.020263956725537907,-1.2581059898889504,-0.76983572559352,-0.4247392439743246,-5.617020660793172,0.1051327248681679,0.0
31,1.2581059898889508,1.2581059898889495,-1.0742186795083675,3.560915298255148e-19,-3.022428354064295e-20,1.5777538203484243e-05,0.0,0.0,0.0,6.069825330777847,-5.9976846791237195,0.005123922751568921,0.04049494079628985,0.020247470398143702,-1.2568673838780597,-0.769070455132378,-0.4243274583776408,-5.611571157378131,0.10503063197277135,0.0
32,1.2568673838780602,1.256867383878059,-1.073149688160592,2.5730484735779123e-19,-2.1839482300335542e-20,1.1044276742438962e-05,0.0,0.0,0.0,6.063764324714662,-5.991648670093945,0.005137714301723051,0.04045973477452652,0.020229867387262013,-1.2556241667011574,-0.7683045805752218,-0.42391219846998857,-5.606076848843703,0.1049277292222479,0.0
33,1.2556241667011578,1.2556241667011565,-1.0720801976046446,1.8574193668640548e-19,-1.5765376285554712e-20,7.730993719707268e-06,0.0,0.0,0.0,6.057706733889864,-5.985630192649288,0.005145818118513779,0.0404229774043397,0.0202114887021686,-1.2543780977923016,-0.7675385132316995,-0.42349463355581446,-5.600552856111664,0.10482429101045765,0.0
34,1.2543780977923018,1.254378097792301,-1.0710106787995894,1.3395933615564996e-19,-1.1370180472612182e-20,5.411695603795084e-06,0.0,0.0,0.0,6.051653348612337,-5.979625781433325,0.005149941728897156,0.04038514614394112,0.02019257307196931,-1.2531304084325647,-0.766772540839679,-0.42307558202064827,-5.595009762280376,0.1047205093818623,0.0
35,1.2531304084325652,1.2531304084325638,-1.0699414610955746,9.652952164157126e-20,-8.193218281735245e-21,3.788186922656556e-06,0.0,0.0,0.0,6.045604720286453,-5.973633008486568,0.00515128056890668,0.04034657523119034,0.02017328761559395,-1.2518819601701046,-0.7660068646118541,-0.42265561660718587,-5.589454973908374,0.10461651873627945,0.0
36,1.2518819601701048,1.2518819601701034,-1.0688727747168285,6.950125558193129e-20,-5.899117162849374e-21,2.6517308458595876e-06,0.0,0.0,0.0,6.039561233083743,-5.967650172233554,0.005150671528189266,0.040307498635380745,0.02015374931768915,-1.2506333557270628,-0.7652416251807057,-0.42223513810840907,-5.58389367394481,0.10451241312225772,0.0
37,1.250633355727063,1.2506333557270617,-1.0678047804997564,5.000229221033389e-20,-4.244087069938853e-21,1.85621159210171e-06,0.0,0.0,0.0,6.033523154113814,-5.961676079673556,0.005148700471762302,0.04026808013051736,0.02013404006525743,-1.2493850166409428,-0.7644769207662636,-0.4218144269527003,-5.5783294887970385,0.10440825834246381,0.0
38,1.249385016640943,1.249385016640942,-1.0667375907096082,3.5947593859321107e-20,-3.0511544881182012e-21,1.2993481144711962e-06,0.0,0.0,0.0,6.027490668544341,-5.955709893863035,0.005145777525916717,0.040228434350194076,0.02011421717509579,-1.2481372376169084,-0.7637128198967418,-0.4213936793133857,-5.572764955286209,0.10430410042746555,0.0
39,1.248137237616909,1.2481372376169078,-1.065671283612145,2.5825508219985945e-20,-2.1920136190954436e-21,9.095436801298367e-07,0.0,0.0,0.0,6.021463904185269,-5.949751027127304,0.0051421897888868084,0.0401886415278323,0.020094320763914902,-1.2468902245760947,-0.7629493703146154,-0.42097303238539785,-5.567201847520416,0.10419997156738635,0.0
