h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3601874840046246,7.457861612021435,2.8544448680320884,0.2812815833094275,0.14064079165471377,-0.032256008886212356,0.027294119955762253,-0.057921200393219865,2.4954916024396705,-0.3098346385335307,0.0
1,-4.346200235011317,0.03225600888621198,2.5055297434158677e-16,6.429614961016877e-17,0.6999999999999998,0.0,0.0,0.0,0.0,-0.26878232708782684,2.9354250613321744,1.0729585869149454,0.03664148027273374,0.018320740136367017,0.1267043792080201,0.16245216873414142,-0.04214636067612568,2.117851567291162,-0.21743590191565898,0.0
2,-3.19162374993629,-0.1267043792080205,4.0438723819936696e-16,9.001460945423627e-17,0.48999999999999977,0.0,0.0,0.0,0.0,-0.19663271627348125,0.8903639285912608,0.2796302061025565,-0.05601427451595885,-0.028007137257979292,0.16476522571280755,0.18676313952955667,-0.030318557715245407,1.6715546448319865,-0.15248624451930431,0.0
3,-2.3102087852225957,-0.16476522571280783,4.969306370987606e-16,9.451533992694808e-17,0.34299999999999975,0.0,0.0,0.0,0.0,-0.14196674530252495,0.029880868508473712,-0.04449638989250748,-0.08082410828932161,-0.0404120541446607,0.15410062704168936,0.16795740794771813,-0.021638862571633704,1.2664289984336563,-0.10688362125155698,0.0
4,-1.6559111186985405,-0.15410062704168953,5.510590468065524e-16,8.821431726515154e-17,0.24009999999999976,0.0,0.0,0.0,0.0,-0.10158007277699578,-0.28145577198603655,-0.15356808701102975,-0.07778266143792742,-0.038891330718963626,0.1276243517877795,0.13653844660649153,-0.015359124583994632,0.9355937657366006,-0.07489153247743165,0.0
5,-1.1788916959475748,-0.1276243517877796,5.814390490351721e-16,7.718752760700758e-17,0.1680699999999998,0.0,0.0,0.0,0.0,-0.07222883798627713,-0.35110242525342683,-0.16988094670606385,-0.06525394003651254,-0.032626970018256214,0.09940327570709084,0.1052427884133608,-0.010859378129477838,0.6799327607469079,-0.052461270964754156,0.0
6,-0.8352904166189477,-0.0994032757070909,5.973946790027374e-16,6.483752318988636e-17,0.11764899999999984,0.0,0.0,0.0,0.0,-0.051132338147370913,-0.3242897471614752,-0.1507060339210148,-0.051184335465564404,-0.025592167732782153,0.07471185776418354,0.07859550381805055,-0.0076565948709581486,0.4887011976219219,-0.0367418452071641,0.0
7,-0.5898328564024832,-0.0747118577641836,6.047929609220165e-16,5.295064393840719e-17,0.08235429999999987,0.0,0.0,0.0,0.0,-0.03608419457815744,-0.26701417206443967,-0.12169350068340998,-0.03863508507139123,-0.019317542535695585,0.05491223198075343,0.05752682303976661,-0.005387658774041146,0.3485871189743963,-0.02572895103423477,0.0
8,-0.4154969310275631,-0.054912231980753456,6.072789513805547e-16,4.236051515072575e-17,0.057648009999999895,0.0,0.0,0.0,0.0,-0.025407508717424344,-0.207298965555534,-0.09344030306621359,-0.028474470972456457,-0.014237235486228206,0.03977057366500045,0.04154781070813843,-0.0037856510132204388,0.24732136801390553,-0.018015187970457223,0.0
9,-0.29217986299776716,-0.039770573665000475,6.070808876832605e-16,3.335890568119653e-17,0.040353606999999916,0.0,0.0,0.0,0.0,-0.017860965912931633,-0.15549915701937184,-0.06961473269072992,-0.020660786154147952,-0.010330393077073959,0.028518169932182848,0.02973523991461899,-0.0026572375640113283,0.17481186857950426,-0.012613139865298105,0.0
10,-0.20520467246511953,-0.028518169932182865,6.055322242757626e-16,2.5945815529819522e-17,0.028247524899999935,0.0,0.0,0.0,0.0,-0.012541256461460315,-0.1141439016036431,-0.050873878126140346,-0.014833860200195597,-0.007416930100097787,0.020308606786253465,0.021146799137161016,-0.001863776993613318,0.12322792670573102,-0.00883047608195539,0.0
11,-0.14398915855930913,-0.02030860678625348,6.034079610492441e-16,1.997827795796103e-17,0.01977326742999995,0.0,0.0,0.0,0.0,-0.008798539343363795,-0.08259870638369828,-0.03670403597876412,-0.010572914809126487,-0.005286457404563236,0.014392282807458173,0.014972007324845136,-0.0013065347991635804,0.08669759452023862,-0.006181984592396747,0.0
12,-0.10096866904859708,-0.01439228280745818,6.011397051197643e-16,1.5256139531533875e-17,0.013841287200999962,0.0,0.0,0.0,0.0,-0.006168995822000494,-0.05919393287345409,-0.02624945195714834,-0.007497459650790477,-0.0037487298253952323,0.01016441581845737,0.010566650748637194,-0.0009155379290119076,0.06091153623355079,-0.004327721122988304,0.0
13,-0.0707678861872546,-0.010164415818457373,5.989519564499406e-16,1.1569239144746522e-17,0.009688901040699971,0.0,0.0,0.0,0.0,-0.004323402206851004,-0.04213634529138097,-0.01865826310107686,-0.005297355243570955,-0.0026486776217854737,0.007160860593438321,0.007440604701063197,-0.0006413675675935014,0.042751824191559026,-0.003029573920441885,0.0
14,-0.049583289851596365,-0.007160860593438324,5.969475274474361e-16,8.721426432193532e-18,0.006782230728489978,0.0,0.0,0.0,0.0,-0.0030289830255737678,-0.029852450601162643,-0.013205325310514989,-0.0037331861892880742,-0.0018665930946440345,0.005035925718435986,0.005230818980317719,-0.0004492075106627442,0.029984241237766423,-0.0021207879320529325,0.0
15,-0.03473162619914661,-0.005035925718435987,5.951603504482174e-16,6.5410698241451485e-18,0.004747561509942984,0.0,0.0,0.0,0.0,-0.0021216137844991155,-0.021078640566611368,-0.009317383214832393,-0.002625988990035898,-0.001312994495017947,0.003537033127722621,0.0036729857163408835,-0.00031457276156825024,0.021018506405921254,-0.0014845954721207052,0.0
16,-0.024324023464220055,-0.0035370331277226217,5.935875525898561e-16,4.883998802028378e-18,0.003323293056960088,0.0,0.0,0.0,0.0,-0.0014858051843842012,-0.014847754093694095,-0.006559701732661817,-0.0018446938694573584,-0.000922346934728678,0.002481979629685775,0.0025769055652230034,-0.00022026590683635683,0.01472800626918342,-0.0010392392111448008,0.0
17,-0.017032872865233976,-0.002481979629685776,5.922084849673558e-16,3.632474109008606e-18,0.002326305139872061,0.0,0.0,0.0,0.0,-0.001040407869358822,-0.01044066897802692,-0.004610917582792903,-0.0012945987919904577,-0.0006472993959952279,0.0017404719909817467,0.0018067973996407473,-0.0001542192442035766,0.010317274500320075,-0.0007274788525728509,0.0
18,-0.011926097255865485,-0.0017404719909817476,5.909956467633914e-16,2.692304339618143e-18,0.0016284135979104423,0.0,0.0,0.0,0.0,-0.0007284609270508044,-0.007332541483734687,-0.0032373887531147033,-0.0009079074405394616,-0.00045395372026973014,0.0012199030898367028,0.0012662683266908995,-0.00010797034289094835,0.0072260006977008856,-0.0005092410084620926,0.0
19,-0.008349840775255319,-0.0012199030898367034,5.899206547442883e-16,1.989313762051183e-18,0.0011398895185373093,0.0,0.0,0.0,0.0,-0.0005100120389663031,-0.0051450462966383835,-0.0022711387357735573,-0.0006363955278422054,-0.00031819776392110226,0.0008547335798211618,0.0008871573716973979,-7.558783765720358e-05,0.00506019221205725,-0.00035647166743872047,0.0
20,-0.005845689959614191,-0.0008547335798211621,5.889572477305769e-16,1.4658101404587664e-18,0.0007979226629761163,0.0,0.0,0.0,0.0,-0.00035705397878696784,-0.00360778357595649,-0.001592328007127229,-0.0004459152724124329,-0.0002229576362062161,0.0005987218931559467,0.0006214023051069724,-5.2915867555400245e-05,0.0035431494940659333,-0.00024953167634063545,0.0
21,-0.0040923913590110664,-0.000598721893155947,5.880825678027389e-16,1.077370453237193e-18,0.0005585458640832813,0.0,0.0,0.0,0.0,-0.00024996099736053934,-0.0025286339831810953,-0.0011159193008910772,-0.00031236409272795875,-0.00015618204636397916,0.0004193134318313836,0.00043518144338894945,-3.704333986505021e-05,0.002480721843407817,-0.00017467294246505124,0.0
22,-0.002864882057929967,-0.00041931343183138374,5.872774817986797e-16,7.900716657072749e-19,0.0003909821048582968,0.0,0.0,0.0,0.0,-0.00017498452666655107,-0.0017716670500555853,-0.000781800715855479,-0.00021876870646613612,-0.0001093843532330679,0.0002936254495763702,0.0003047288399579325,-2.5931475585168574e-05,0.001736768844719024,-0.00012227145160731136,0.0
23,-0.002005523487845378,-0.0002936254495763704,5.865264036193745e-16,5.781888099039602e-19,0.0002736874734008077,0.0,0.0,0.0,0.0,-0.00012249519625961167,-0.001240994119310855,-0.0005475954007569113,-0.00015319610608270125,-7.659805304135051e-05,0.00020559185444779873,0.00021336207844831575,-1.815261265013059e-05,0.0012158724937285335,-8.559021582084738e-05,0.0
24,-0.001403920481236104,-0.00020559185444779884,5.858168879230119e-16,4.2232921766897956e-19,0.00019158123138056534,0.0,0.0,0.0,0.0,-8.574970893238654e-05,-0.0008691174013573114,-0.0003834874392153828,-0.00010726683587649805,-5.363341793824894e-05,0.00014394183577003,0.00014937989734376786,-1.270712428012422e-05,0.0008511791836479065,-5.991325283586012e-05,0.0
25,-0.0009827718745218433,-0.00014394183577003006,5.851391483670265e-16,3.0794838788363094e-19,0.00013410686196639571,0.0,0.0,0.0,0.0,-6.0026361458688526e-05,-0.0006085969786621009,-0.0002685281719676006,-7.510184916886639e-05,-3.755092458443315e-05,0.00010077331772073219,0.00010457940271503337,-8.89513753919804e-06,0.0005958603033151634,-4.193932884077421e-05,0.0
26,-0.0006879543448470015,-0.00010077331772073222,5.844855822368163e-16,2.241864263792833e-19,9.387480337647697e-05,0.0,0.0,0.0,0.0,-4.201925062166862e-05,-0.00042612734201315943,-0.00018801403589026265,-5.2578970782808785e-05,-2.6289485391404355e-05,7.054847320025483e-05,7.321244829503813e-05,-6.226672991396078e-06,0.00041711998385601204,-2.93575566132439e-05,0.0
27,-0.0004815751921886432,-7.054847320025486e-05,5.838503409873498e-16,1.6296628686801747e-19,6.571236236353387e-05,0.0,0.0,0.0,0.0,-2.941388187819175e-05,-0.00029834491665038545,-0.00013163240749078476,-3.680919128171171e-05,-1.8404595640855827e-05,4.938757515382861e-05,5.1252212794520804e-05,-4.358710185960483e-06,0.0002919930447461397,-2.055030309481957e-05,0.0
28,-0.00033710627844570046,-4.938757515382862e-05,5.832289619333439e-16,1.1830145268937563e-19,4.59986536544737e-05,0.0,0.0,0.0,0.0,-2.0589924431081772e-05,-0.000208869864707586,-9.2154192801346e-05,-2.576842724453134e-05,-1.2884213622265653e-05,3.457315947893174e-05,3.587833197593754e-05,-3.051117050691813e-06,0.00020439974611714115,-1.4385219028177259e-05,0.0
29,-0.00023597625178324195,-3.457315947893175e-05,5.826180630501272e-16,8.576855319979733e-20,3.219905755813158e-05,0.0,0.0,0.0,0.0,-1.4413052644908488e-05,-0.00014622338915777695,-6.451379900003627e-05,-1.8038914844191063e-05,-9.019457422095518e-06,2.4202157862675483e-05,2.5115740977190036e-05,-2.135792086579637e-06,0.00014308217389673617,-1.00696568163809e-05,0.0
30,-0.0001651843224756926,-2.4202157862675497e-05,5.820150961666594e-16,6.210826266192221e-20,2.25393402906921e-05,0.0,0.0,0.0,0.0,-1.0089190634760295e-05,-0.00010236375311899647,-4.516264750613363e-05,-1.2627758010122514e-05,-6.313879005061249e-06,1.6941992684005972e-05,1.75814816868466e-05,-1.4950596333829081e-06,0.00010015872006763476,-7.04876155330676e-06,0.0
31,-0.00011562950791311795,-1.6941992684005982e-05,5.814181509833371e-16,4.492497665879039e-20,1.5777538203484466e-05,0.0,0.0,0.0,0.0,-7.062460851803461e-06,-7.165838825569704e-05,-3.1615375988982605e-05,-8.839694376275472e-06,-4.419847188137729e-06,1.185964058900166e-05,1.2307273118543234e-05,-1.0465443792861432e-06,7.011171469969857e-05,-4.934133995315917e-06,0.0
