h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1268013944015205,-1.7551028842062621,-0.45502160700187116,-0.008901035597478792,-0.004450517798739429,-0.0670712519849411,-0.08351514215137244,0.019830988391670846,-0.04736874717541914,-0.05047051184447367,-0.2
1,0.06707125198494113,0.06707125198494102,-1.8281299929613437e-17,9.398144979791416e-18,-4.352548083546966e-18,5.41338530183367e-18,0.6999999999999995,0.0,0.0,0.09257321992277301,-0.7054065272855994,-0.10670265456288883,0.030459581485032156,0.015229790742516045,-0.08112814867357382,-0.09127953494055357,0.014248357774995207,-0.11809976920711326,-0.03520305764818524,-0.1399999999999999
2,0.08112814867357385,0.08112814867357374,-3.596720760246257e-17,1.3157402971707982e-17,-6.09356731696575e-18,7.578739422567133e-18,0.4899999999999993,0.0,0.0,0.06674390305683915,-0.22718908900389445,0.03324386792039406,0.0400184101027072,0.020009205051353573,-0.07420632090443902,-0.08061959831789964,0.010160696619134761,-0.1259545338343015,-0.02457777987682597,-0.09799999999999986
3,0.07420632090443904,0.07420632090443896,-5.175926799123977e-17,1.3815273120293381e-17,-6.398245682814035e-18,7.957676393695484e-18,0.3429999999999993,0.0,0.0,0.04771067027721297,-0.023180225377026464,0.0782727617351005,0.03754038192546133,0.018770190962730644,-0.060819611166346405,-0.06495592179941095,0.007207700996965017,-0.11022525568217312,-0.01717164900245104,-0.06859999999999986
4,0.06081961116634643,0.06081961116634636,-6.519169476151848e-17,1.2894254912273821e-17,-5.97169597062643e-18,7.42716463411578e-18,0.24009999999999934,0.0,0.0,0.03390192340064364,0.053001584209169034,0.0828189650267949,0.031133302905587756,0.015566651452793859,-0.047096359091813096,-0.049811902628568036,0.005093909670891486,-0.08839756092419335,-0.01200344160093494,-0.04801999999999987
5,0.04709635909181311,0.04709635909181306,-7.624862999810887e-17,1.1282473048239591e-17,-5.225233974298124e-18,6.498769054851303e-18,0.16806999999999941,0.0,0.0,0.02398840693497445,0.07237828873280247,0.07225584330325416,0.02426734855971838,0.012133674279859176,-0.035272100801929544,-0.037081320854339926,0.0035904611429078063,-0.0676059290670953,-0.008393892636751383,-0.03361399999999989
6,0.035272100801929565,0.03527210080192952,-8.513610791325116e-17,9.477277360521256e-18,-4.3891965384104216e-18,5.458966006075091e-18,0.1176489999999995,0.0,0.0,0.016922878169293092,0.06864140192990592,0.057857223285917525,0.018247867349685927,0.009123933674842953,-0.025864877384969766,-0.027084622961428103,0.002525921884399298,-0.05024284816934518,-0.005871385002691456,-0.023529799999999903
7,0.025864877384969783,0.025864877384969752,-9.215034677217202e-17,7.739776511092359e-18,-3.5845105063685095e-18,4.458155571627987e-18,0.08235429999999959,0.0,0.0,0.01191276649439299,0.05720952487894275,0.04420885855343704,0.013415948502671388,0.006707974251335687,-0.01870387021438745,-0.01953389034852973,0.001774565579968838,-0.036657308267414326,-0.004107757997960739,-0.01647085999999992
8,0.018703870214387464,0.018703870214387436,-9.760509537184882e-17,6.1918212088738866e-18,-2.8676084050948067e-18,3.566524457302387e-18,0.05764800999999967,0.0,0.0,0.008372952019235796,0.04471471134921027,0.03283613817375081,0.009718540212290952,0.004859270106145471,-0.013397671306697643,-0.013966556458157831,0.001245467552448412,-0.026418023834514318,-0.0028743036569841246,-0.011529601999999934
9,0.013397671306697652,0.013397671306697632,-1.0179445506775683e-16,4.876059201988185e-18,-2.258241619012159e-18,2.808638010125628e-18,0.04035360699999974,0.0,0.0,0.00587840007086908,0.03367904698948633,0.023948373835040296,0.006969803049539401,0.0034849015247696968,-0.009533773001958443,-0.009925811922739957,0.0008734944573804117,-0.018878832638703297,-0.0020114382912519288,-0.00807072139999995
