h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9801982366747808,-67.57960691078252,-26.774595300026803,-2.5313169251402896,-0.2656584625701467,-2.808601202973219,-2.8556123346594995,0.1888454924364278,-6.31315703370005,0.04513999190981177,-1.5265566588595902e-16
1,2.808601202973217,2.80860120297322,-5.551115123125783e-16,5.551115123125783e-17,-1.1102230246251565e-15,1.1427490897997217e-16,3.3306690738754696e-16,-6.522560269672795e-16,0.7000000000000002,0.8457760517372345,-25.398228171810295,-9.872593117323866,-0.23551935544241012,0.5822403222787932,-3.397232185418999,-3.37321789849953,0.1475459384441893,-7.976131892325174,0.03688681968628844,-3.212386642908393e-16
2,3.3972321854190017,3.3972321854189995,-9.99387092041685e-16,7.771561172376095e-17,-1.5543122344752192e-15,1.5998487257196098e-16,4.662936703425657e-16,-9.131584377541918e-16,0.49000000000000027,0.6733914512612831,-6.6151036985631375,-2.3910186785993757,0.6180588085466906,0.7990294042733439,-3.1073814189008773,-3.0615649769833597,0.11110631973697589,-7.395834120747298,0.028515861578915103,-3.7493285372305516e-16
3,3.1073814189008826,3.1073814189008773,-1.349146031654467e-15,8.160139230994899e-17,-1.63202784619898e-15,1.67984116200559e-16,4.896083538596939e-16,-9.588163596419019e-16,0.34300000000000025,0.5128275650766219,1.0582205064689667,0.6294918152221216,0.8316039513062001,0.7588019756530991,-2.546814440328572,-2.4999617838975525,0.08176147280557246,-6.100721735327301,0.02133447011243266,-3.6749904970976607e-16
4,2.546814440328578,2.5468144403285717,-1.6208915043012707e-15,7.616129948928573e-17,-1.5232259897857148e-15,1.5678517512052169e-16,4.569677969357142e-16,-8.94895268999109e-16,0.24010000000000023,0.3801032592423448,3.6396583354527445,1.6143149795675522,0.7854268388885208,0.6328134194442596,-1.972154788919459,-1.931825729631397,0.059264757552369596,-4.741174018761404,0.015633971561565325,-3.3078157126937554e-16
5,1.9721547889194648,1.972154788919459,-1.829731498861447e-15,6.664113705312502e-17,-1.3328227410625003e-15,1.3718702823045644e-16,3.9984682231874985e-16,-7.830333603742208e-16,0.1680700000000002,0.27683666354550773,4.024988807358525,1.7281014201353901,0.6533987910528348,0.49476939552641686,-1.4770152906335272,-1.4449466791193604,0.04252066066282568,-3.5586659499841393,0.011300406907526421,-2.830196654193404e-16
6,1.4770152906335323,1.4770152906335272,-1.9887306447004097e-15,5.597855512462501e-17,-1.1195711024925003e-15,1.1523710371358337e-16,3.358713307477498e-16,-6.577480227143459e-16,0.11764900000000017,0.19927099494269054,3.5702602793137097,1.514442001347672,0.5101718038631793,0.3727349019315893,-1.0830888583157998,-1.0586849186886225,0.03029204771777026,-2.6132863110641207,0.00809201527874029,-2.3414456166508255e-16
7,1.0830888583158043,1.0830888583157998,-2.1087765081570696e-15,4.5715820018443766e-17,-9.143164003688752e-16,9.411030136609306e-17,2.7429492011066226e-16,-5.37160885216716e-16,0.08235430000000014,0.1422849196368864,2.882778934975579,1.2154150820201501,0.3840224229772772,0.27436551148863836,-0.7832224810143433,-0.7651430268348756,0.02147328111175638,-1.8915815487442176,0.0057570171754727,-1.891227502756388e-16
8,0.7832224810143469,0.7832224810143431,-2.198710013495283e-15,3.6572656014755014e-17,-7.314531202951003e-16,7.528824109287443e-17,2.1943593608852975e-16,-4.297287081733731e-16,0.05764801000000012,0.10102383789400282,2.2134190740467434,0.9299314664924674,0.2825245405089708,0.1989102802544853,-0.5610259930361723,-0.5478624769974496,0.015168296609603693,-1.3558443991473057,0.00407710257626715,-1.5004101517000387e-16
9,0.5610259930361752,0.5610259930361722,-2.26557354695704e-15,2.880096661161957e-17,-5.760193322323915e-16,5.92894898606386e-17,1.7280579966971716e-16,-3.3841135768653155e-16,0.04035360700000009,0.07144253149806437,1.6490032030245358,0.6912807733511823,0.2047529524933005,0.14273008324665015,-0.39922568208784975,-0.38975240535502054,0.010687620212607045,-0.9652638294627238,0.00287801923856754,-1.1738727360294244e-16
10,0.39922568208785203,0.3992256820878497,-2.314894396170715e-15,2.2400751809037446e-17,-4.48015036180749e-16,4.6114047669385567e-17,1.3440451085422444e-16,-2.632088337561914e-16,0.02824752490000007,0.05037964925182814,1.2050615840924577,0.5044473264949949,0.14688688833063035,0.10169096906531512,-0.2827740727289668,-0.2760108914104298,0.007516909354275752,-0.6839260156036759,0.00202686759619591,-9.082208561081752e-17
11,0.2827740727289686,0.28277407272896676,-2.3509599943365552e-15,1.7248578892958837e-17,-3.4497157785917673e-16,3.550781670542688e-17,1.0349147335775279e-16,-2.0267080199226745e-16,0.019773267430000054,0.03545423707334012,0.8694091328265671,0.3635854294159999,0.10463484121866334,0.07209068803933164,-0.19963167186362943,-0.1948302374507049,0.005279965016188687,-0.4829478431433423,0.0014250517954400965,-6.963115578970274e-17
12,0.19963167186363084,0.1996316718636294,-2.3770643767763247e-15,1.3171642063714021e-17,-2.634328412742804e-16,2.71150600295987e-17,7.902985238228392e-17,-1.547667942486407e-16,0.01384128720100004,0.024914013204559646,0.6217672414600571,0.2598462918593133,0.074168779657027,0.05092567702951348,-0.1406032718785516,-0.13720802009286798,0.0037052134441831774,-0.3402035452803752,0.0010007183276142828,-5.298079615628324e-17
13,0.14060327187855268,0.14060327187855157,-2.3957183504519113e-15,9.9884952316498e-18,-1.9976990463299598e-16,2.0562253855779008e-17,5.993097138989863e-17,-1.173648189718859e-16,0.00968890104070003,0.01748875315098732,0.4419537861698877,0.18461178177257553,0.052389198254985815,0.035883500168192896,-0.09886109178640436,-0.09646696354222392,0.002598356891032944,-0.23923301427264887,0.0007021243538912063,-4.00538482818422e-17
14,0.0988610917864052,0.09886109178640434,-2.408822967582056e-15,7.529788713089849e-18,-1.5059577426179697e-16,1.550077598358725e-17,4.5178732278538957e-17,-8.847501737880636e-17,0.006782230728490023,0.012267068117898898,0.31279036542771255,0.13061399181688318,0.03691247843721189,0.025238469947095936,-0.06942636938271167,-0.06774158639759759,0.0018212486687128311,-0.1680188252671833,0.00049231334671679,-3.0114797478000293e-17
15,0.0694263693827123,0.06942636938271166,-2.4178094056416514e-15,5.6473415348173865e-18,-1.1294683069634773e-16,1.1625581987690433e-17,3.388404920890421e-17,-6.635626303410481e-17,0.0047475615099430175,0.008599657111134782,0.22069740825633136,0.09213594413537146,0.0259610546864607,0.017728088853173347,-0.04871240361689143,-0.04752852370947598,0.0012760964752375381,-0.1178963599367232,0.00034504040942013946,-2.2534330811097732e-17
16,0.04871240361689191,0.04871240361689143,-2.4237497972885656e-15,4.216681679330316e-18,-8.433363358660632e-17,8.680434550808854e-18,2.5300090075981802e-17,-4.954600973213162e-17,0.003323293056960113,0.006026236468075007,0.15537697368503567,0.06485500183399476,0.018235070183341407,0.012440828148630803,-0.034156746826058765,-0.03332572156012855,0.0008938904487857423,-0.0826717564043305,0.00024174285442349184,-1.6791812371316687e-17
17,0.03415674682605911,0.03415674682605876,-2.427443851061539e-15,3.1361569990019224e-18,-6.272313998003844e-17,6.4560731971640836e-18,1.8816941994011462e-17,-3.684984473827291e-17,0.0023263051398720795,0.004221665827584931,0.10921679149459924,0.04558186958595506,0.012796312315747675,0.008724461297745907,-0.023939311271069838,-0.023356416792589936,0.000626040740709115,-0.05794376436706962,0.00016932933790272164,-1.246671522240547e-17
18,0.0239393112710701,0.023939311271069838,-2.4294858136930913e-15,2.3244457757308367e-18,-4.648891551461673e-17,4.785089546133379e-18,1.3946674654384964e-17,-2.7312237864837585e-17,0.0016284135979104562,0.002956847851253573,0.07668254858097667,0.032000749813084955,0.008973604555171585,0.006115215875496242,-0.016772595639671185,-0.016363969833080784,0.0004383902732129906,-0.040598107076849764,0.00011858625407947136,-9.225413249422483e-18
19,0.016772595639671383,0.016772595639671182,-2.4303157732056298e-15,1.7175071565122294e-18,-3.435014313024458e-17,3.5356494979763295e-18,1.0305042939073332e-17,-2.0180709089018894e-17,0.0011398895185373197,0.002070650495826965,0.053795392642530464,0.022448140730851183,0.0062897712419681465,0.004284775139521388,-0.011748500290887084,-0.011462156644664821,0.00030695561846752847,-0.028437770003632675,8.303877048969769e-05,-6.806888090212796e-18
20,0.01174850029088723,0.011748500290887084,-2.4302586717126675e-15,1.2655315890090111e-18,-2.5310631780180218e-17,2.605215419561505e-18,7.593189534054032e-18,-1.4869996170856038e-17,0.0007979226629761239,0.0014498920584401337,0.03771670604025669,0.015737962676014704,0.0044070429251549725,0.003001444125553606,-0.008227865493486143,-0.008027269222381636,0.00021491093631653834,-0.019916169487563612,5.814160770518896e-05,-5.009190834080897e-18
21,0.008227865493486251,0.008227865493486143,-2.4295537848234426e-15,9.301657179216232e-19,-1.860331435843246e-17,1.9148333333777058e-18,5.580994307529712e-18,-1.0929447185579194e-17,0.0005585458640832869,0.0010151469809607718,0.026432234056883736,0.011028938443629246,0.0030870718472697425,0.0021020817877181555,-0.005761501004903578,-0.0056210042637294295,0.00015045905957347997,-0.013946277116897388,4.070649820414857e-05,-3.677492003508987e-18
22,0.005761501004903656,0.005761501004903576,-2.4283768765367823e-15,6.82121526475857e-19,-1.3642430529517139e-17,1.4042111111436505e-18,4.092729158855121e-18,-8.014927936091413e-18,0.000390982104858301,0.0007107162889786638,0.018518126372944702,0.007726557667451198,0.0021620417146716166,0.0014720029621941074,-0.004034067399876898,-0.003935679245045232,0.00010533224886211459,-0.009764920729493944,2.849830579112076e-05,-2.6939852962129417e-18
23,0.004034067399876955,0.004034067399876898,-2.4268567711842553e-15,4.991889352846044e-19,-9.983778705692088e-18,1.027627222246035e-18,2.9951336117076105e-18,-5.865469989594174e-18,0.00027368747340081074,0.0004975591900095611,0.012970618840750639,0.00541180111666389,0.0015139853685677332,0.001030680157684676,-0.0028243652696602747,-0.002755472955833574,7.37381322911415e-05,-0.006836732094629708,1.9950728576258386e-05,-1.969608332978715e-18
