h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.552759274996749,7.808872016839556,4.951056088622952,0.47191103578791355,0.23595551789395833,0.1519821746237471,-1.5034234929525843,1.4998926878092107,15.47697432324158,-0.3373762444434656,0.0
1,-0.15198217462374755,-0.15198217462374944,-0.33131478846160956,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,5.028295355221778,-0.5958309021058011,1.7619252008384751,0.04741958402132262,0.02370979201066212,-0.006080983565661514,-1.0253530887480122,0.9160926788883812,9.786956172530271,-0.204784652113997,0.0
2,0.006080983565661391,0.006080983565659698,-0.5629038255962748,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,5.374351646159242,-4.411492731052799,0.36589842223868607,-0.10486093843499666,-0.052430469217498096,-0.25129446507475406,-0.8200560318087944,0.50901137604549,5.470272226019487,-0.11150422017715148,0.0
3,0.25129446507475417,0.2512944650747526,-0.7246851681168676,0.3430000000000001,0.0,0.0,0.0,0.0,0.0,5.622391642044148,-6.027924503265715,-0.18512501605889253,-0.13764365623954578,-0.06882182811977308,-0.49132819328697847,-0.7421475096025388,0.22492299725417436,2.2794078595832032,-0.04598614614765509,0.0
4,0.4913281932869787,0.49132819328697724,-0.8376014553910832,0.2401000000000001,0.0,0.0,0.0,0.0,0.0,5.798060210286078,-6.621152546143162,-0.35366094173714524,-0.12298359497759966,-0.06149179748880035,-0.6940096396748282,-0.7210257394607819,0.026567711613867007,-0.039564802624899365,-2.632273978632471e-05,0.0
5,0.6940096396748283,0.694009639674827,-0.9163125346453251,0.16807000000000008,0.0,0.0,0.0,0.0,0.0,5.92115365711297,-6.761214081285738,-0.36096570577892884,-0.09356333078635759,-0.04678166539317952,-0.8533582994853879,-0.723151900114124,-0.11195891773021838,-1.7055020130291672,0.032179247167396105,0.0
6,0.8533582994853881,0.8533582994853868,-0.9710802986074231,0.11764900000000007,0.0,0.0,0.0,0.0,0.0,6.006469522474869,-6.718118691712836,-0.30968423589674265,-0.06321256670740619,-0.03160628335370398,-0.973616433123623,-0.7331422080596159,-0.20869957392934146,-2.8925503832635155,0.054724508196640494,0.0
7,0.9736164331236232,0.973616433123622,-1.009088071856536,0.08235430000000006,0.0,0.0,0.0,0.0,0.0,6.064845154074334,-6.6151286713112984,-0.24505023506133616,-0.03700134995919349,-0.018500674979597745,-1.0620486887005427,-0.7443522576246688,-0.27623805741315144,-3.733286864991549,0.07049109332003992,0.0
8,1.0620486887005431,1.0620486887005418,-1.0353641812680838,0.05764801000000005,0.0,0.0,0.0,0.0,0.0,6.1041108194872065,-6.505025484651432,-0.18516338297502433,-0.016129163080566944,-0.008064581540284527,-1.1259290059896134,-0.7542326027347097,-0.32335954803408734,-4.32595476181585,0.08150423354610836,0.0
9,1.1259290059896137,1.1259290059896123,-1.0534284553251991,0.040353607000000034,0.0,0.0,0.0,0.0,0.0,6.129872106283167,-6.407684083146257,-0.135781535990116,-0.00023835627125545766,-0.00011917813562892232,-1.1714644566878571,-0.7620695869103808,-0.3562017064219016,-4.742096222354005,0.08918571202389348,0.0
10,1.1714644566878576,1.1714644566878563,-1.0657447736367425,0.028247524900000025,0.0,0.0,0.0,0.0,0.0,6.146116316929521,-6.328317318129315,-0.09741300695972943,0.011531540977673782,0.005765770488835725,-1.2035683341533119,-0.767909389799132,-0.3790547976744518,-5.033203226318625,0.09453287715329371,0.0
11,1.2035683341533123,1.203568334153311,-1.0740378515999138,0.01977326743000002,0.0,0.0,0.0,0.0,0.0,6.155666865212315,-6.26614102154768,-0.06861877359192214,0.0200937616919713,0.010046880845984485,-1.2259695607393495,-0.7720624356554137,-0.394918900203109,-5.23603993020747,0.09824494301938076,0.0
12,1.2259695607393497,1.2259695607393484,-1.0795149896640799,0.013841287201000014,0.0,0.0,0.0,0.0,0.0,6.1605166004050895,-6.218347216307106,-0.047476902284029565,0.026245999756174032,0.013122999878085795,-1.2414259653849578,-0.7748877352062842,-0.4058924854822912,-5.376708024593373,0.1008119048227519,0.0
