h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1436320572566292,1.424466755540942,0.5154177508722465,0.010082492078376163,0.005041246039188124,0.07597378523196564,0.09460031363139043,-0.022463204553639014,0.05365611820427314,0.05716958777331797,0.22654649490969175
1,-0.07597378523196564,-0.0759737852319656,-7.428302561977158e-18,3.861551218887513e-18,-1.308531353851908e-17,1.0450766301836799e-17,1.734723475976807e-17,0.7000000000000006,0.0,-0.10486069248004108,0.4045201869136445,0.12086556194391113,-0.03450255710925091,-0.01725127855462541,0.09189648860255273,0.10339529348884591,-0.016139577560722037,0.13377544381757603,0.03987564660150098,0.15858254643678438
2,-0.09189648860255266,-0.09189648860255269,-1.7362568504573373e-17,5.406171706442525e-18,-1.8319438953926717e-17,1.4631072822571518e-17,2.42861286636753e-17,0.4900000000000009,0.0,-0.07560298647059546,-0.018817227033054034,-0.03765640877302971,-0.04533015270313467,-0.022665076351567292,0.08405590950522247,0.09132043709973744,-0.011509351024528639,0.1426727907907268,0.02784004941878449,0.11100778250574916
3,-0.08405590950522239,-0.08405590950522245,-2.7623709623921463e-17,5.67648029176466e-18,-1.9235410901623062e-17,1.5362626463700096e-17,2.550043509685907e-17,0.3430000000000009,0.0,-0.05404342560547253,-0.16705618615568216,-0.08866209908994223,-0.04252320971392219,-0.021261604856961068,0.06889234865753088,0.07357768203642318,-0.008164396986097559,0.12485572662660535,0.019450884466624036,0.07770544775402448
4,-0.06889234865753077,-0.06889234865753086,-3.7114560897163766e-17,5.29804827231369e-18,-1.7953050174848197e-17,1.4338451366120092e-17,2.38004060904018e-17,0.24010000000000084,0.0,-0.038401809585562725,-0.19535584178155582,-0.09381173119434376,-0.035265703241113305,-0.017632851620556625,0.05334757537629245,0.056423559726424946,-0.005770036906635237,0.10013078792971032,0.013596688107725042,0.05439381342781718
5,-0.05334757537629235,-0.05334757537629243,-4.536684450523152e-17,4.635792238274485e-18,-1.5708918902992178e-17,1.254614494535508e-17,2.0825355329101577e-17,0.16807000000000075,0.0,-0.02717244754792827,-0.1767086964016114,-0.08184654018548097,-0.02748841378477994,-0.01374420689238995,0.039953854023892475,0.04200321633086199,-0.004067031935176062,0.07657943132631884,0.009508034777521563,0.03807566939947206
6,-0.039953854023892406,-0.03995385402389246,-5.226258235567272e-17,3.894065480150572e-18,-1.3195491878513434e-17,1.0538761754098269e-17,1.7493298476445326e-17,0.11764900000000063,0.0,-0.019169093665184624,-0.1440587658757431,-0.06553675570316034,-0.02066995193824191,-0.010334975969120943,0.02929798656416936,0.030679631989310577,-0.002861193746631753,0.056911705735225034,0.0066507084631254754,0.026652968579630464
7,-0.029297986564169296,-0.029297986564169345,-5.786606124344926e-17,3.180153475456305e-18,-1.0776318367452641e-17,8.606655432513587e-18,1.4286193755763684e-17,0.08235430000000052,0.0,-0.013493977469910831,-0.11121758125171072,-0.05007680974619782,-0.015196680545845775,-0.00759834027292288,0.02118648119157634,0.022126671952048413,-0.002010108060646664,0.04152292350403384,0.004652990881876355,0.018657078005741342
8,-0.021186481191576286,-0.021186481191576328,-6.232509193986715e-17,2.5441227803650476e-18,-8.621054693962116e-18,6.885324346010871e-18,1.1428955004610949e-17,0.057648010000000416,0.0,-0.00948431466002351,-0.08313995183280243,-0.03719456004816811,-0.011008506103667137,-0.005504253051833562,0.015175977372422484,0.01582037205776991,-0.0014107815426547528,0.029924553510749293,0.003255817093979368,0.013059954604018952
9,-0.015175977372422442,-0.015175977372422475,-6.581510898828837e-17,2.0034966895374776e-18,-6.7890805714951686e-18,5.4221929224835614e-18,9.000302066131124e-18,0.040353607000000326,0.0,-0.006658654658660354,-0.060892452575079116,-0.027127100755576977,-0.007894922255420244,-0.003947461127710118,0.01079921428429161,0.011243289501147823,-0.0009894355382129355,0.02138466681142416,0.0022784214730513694,0.009141968222813275
10,-0.010799214284291576,-0.010799214284291604,-6.850929346455156e-17,1.5582752029735957e-18,-5.2803960000517995e-18,4.217261161931659e-18,7.000234940324208e-18,0.028247524900000254,0.0,-0.004671063587260361,-0.04399777729318834,-0.019544877482022858,-0.005622740175656452,-0.002811370087828223,0.007649151701543035,0.007956436740892227,-0.000693567200277111,0.015192198173535825,0.001594563552042757,0.006399377755969298
11,-0.00764915170154301,-0.007649151701543031,-7.056413594166215e-17,1.1998719062896705e-18,-4.065904920039888e-18,3.247291094687378e-18,5.390180904049641e-18,0.019773267430000196,0.0,-0.003274843040675275,-0.031498130392912216,-0.013964694162063885,-0.003984988072507903,-0.0019924940362539495,0.005400116523346043,0.00561339806142231,-0.00048598742250523973,0.010748140451779688,0.0011160255708011241,0.004479564429178512
12,-0.005400116523346023,-0.00540011652334604,-7.211386448775247e-17,9.16265819348477e-19,-3.1048728480304606e-18,2.4797495632158163e-18,4.116138144910635e-18,0.01384128720100015,0.0,-0.0022949882450653846,-0.022405238495286892,-0.009919640135420672,-0.002814496791512546,-0.0014072483957562716,0.0038033747081301873,0.003951745370899631,-0.00034044108553001615,0.007581587661611895,0.000781131823273504,0.0031356951004249613
13,-0.003803374708130173,-0.003803374708130186,-7.326971801052766e-17,6.948349130059292e-19,-2.3545285764231e-18,1.8804767521053275e-18,3.1214047598905653e-18,0.009688901040700113,0.0,-0.0016078157238159105,-0.015865356830446133,-0.007017308342412385,-0.001982889912345729,-0.0009914449561728635,0.0026742320508965243,0.0027776194314158486,-0.00023843609908959733,0.005336610705241587,0.0005467484134038993,0.002194986570297475
14,-0.0026742320508965135,-0.002674232050896523,-7.41216592204896e-17,5.237986267275475e-19,-1.7749523114574145e-18,1.4175901669717085e-18,2.35305897284058e-18,0.006782230728490085,0.0,-0.001126145668315831,-0.011198335593178683,-0.004949600784399953,-0.0013945161073622896,-0.000697258053681144,0.0018780110438367291,0.0019501416452015815,-0.0001669701590786064,0.003750659814031518,0.0003827015376646757,0.0015364905992082338
15,-0.0018780110438367205,-0.0018780110438367278,-7.474112884067172e-17,3.928489700456611e-19,-1.3312142335930612e-18,1.0631926252287814e-18,1.7647942296304352e-18,0.004747561509943064,0.0,-0.0007886457629450031,-0.007886014936381235,-0.0034838221851607267,-0.000979470074109051,-0.000489735037054525,0.001317689989808564,0.001368058823280008,-0.00011691217795677605,0.0026331220628734745,0.00026787968634223066,0.0010755434194457643
16,-0.0013176899898085577,-0.0013176899898085632,-7.51840621482882e-17,2.933272309674274e-19,-9.939732944161527e-19,7.938504935041569e-19,1.3177130247907252e-18,0.003323293056960148,0.0,-0.0005522272257122221,-0.005544252523591848,-0.0024484093708592313,-0.0006873151547637259,-0.0003436575773818626,0.0009239536552352298,0.0009591493703456431,-8.185537469979189e-05,0.0018470889370297964,0.0001875099762940108,0.0007528803936120359
17,-0.0009239536552352252,-0.0009239536552352293,-7.549376257027265e-17,2.181621280320244e-19,-7.392676377220139e-19,5.904263045437168e-19,9.80049062188102e-19,0.002326305139872106,0.0,-0.00038664833243072657,-0.0038932281607604855,-0.0017188467454732795,-0.0004819798152508168,-0.00024098990762540815,0.0006475679392231349,0.0006721731070975475,-5.730734880518061e-05,0.001294951403928216,0.00013125402572034531,0.0005270162755284255
18,-0.0006475679392231315,-0.0006475679392231345,-7.57034466116242e-17,1.6169663607079477e-19,-5.479277785469046e-19,4.376100845441666e-19,7.263893049158874e-19,0.0016284135979104757,0.0,-0.0002706993253046166,-0.002731502796954032,-0.0012057203410167092,-0.0003378237066643371,-0.00016891185333216835,0.00045370541661862235,0.0004709128127727684,-4.011951969338628e-05,0.0009074796158666681,9.187631082231214e-05,0.00036891139286989827
19,-0.00045370541661861975,-0.0004537054166186221,-7.583839869327811e-17,1.1947584776342075e-19,-4.048577474818797e-19,3.2334522913541205e-19,5.367209864100724e-19,0.001139889518537334,0.0,-0.00018951270990419546,-0.00191523331847981,-0.0008452922668041052,-0.00023669970780512077,-0.00011834985390256026,0.00031780162913559615,0.00032983854033884343,-2.8085893474594765e-05,0.0006357522598374875,6.431264954352173e-05,0.00025823797500892904
20,-0.00031780162913559425,-0.000317801629135596,-7.591774091023488e-17,8.803483519409962e-20,-2.983162349866483e-19,2.382543793629352e-19,3.954786215653166e-19,0.0007979226629761346,0.0,-0.00013267071014958648,-0.0013422844855952294,-0.0005923609421096,-0.00016580348980245975,-8.290174490122978e-05,0.0002225670505507928,0.00023098867613868083,-1.9661261640702986e-05,0.00044528979539542967,4.501846330548298e-05,0.00018076658250625047
21,-0.00022256705055079143,-0.0002225670505507927,-7.59558548223846e-17,6.470560386766332e-20,-2.1926243271518657e-19,1.751169688317574e-19,2.9067678685050773e-19,0.0005585458640832946,0.0,-9.287551690185192e-05,-0.000940425254491131,-0.0004149871260490837,-0.00011612037939870616,-5.806018969935302e-05,0.00015585090524651872,0.00016174389667094336,-1.3763462139373807e-05,0.00031183698552370427,3.151272487637066e-05,0.00012653660775437545
