h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08434937109797425,-0.05060962265878456,-0.03062430945391231,-0.015312154726956188,1.0230365584118297,0.719018160669228,0.3040183977426016,3.1715599838757247,0.37606201533800404,0.0,-0.023036558411829722,-0.023036558411829722
1,-0.02303655841182927,-0.02303655841182929,1.7029140787735669e-16,6.850118761731509e-17,0.7,0.0,0.0,0.0,-0.073115751236681,-0.04386945074200861,-0.02654577458824907,-0.013272887294124564,0.7360941484751794,0.5224146408069673,0.21367950766821192,2.2262821976300846,0.2520581774752301,0.0,-0.03609414847517922,-0.03609414847517952
2,-0.036094148475179264,-0.03609414847517897,2.3840797102829935e-16,9.59016626642411e-17,0.48999999999999994,0.0,0.0,0.0,-0.06337822095549223,-0.03802693257329535,-0.023010417575313073,-0.011505208787656561,0.5325750559757768,0.38224818874106403,0.15032686723471267,1.5637633373908044,0.16674513644086997,0.0,-0.042575055975776654,-0.04257505597577707
3,-0.042575055975776835,-0.042575055975776405,2.5032836957971425e-16,1.0069674579745314e-16,0.3429999999999999,0.0,0.0,0.0,-0.05493753156526458,-0.032962518939158754,-0.019945898177884006,-0.009972949088942026,0.38780646438640937,0.2819264915899178,0.10587997279649156,1.0992855199749396,0.10831726272165085,0.0,-0.04480646438640917,-0.04480646438640962
4,-0.044806464386409506,-0.044806464386409055,2.336398116077332e-16,9.398362941095623e-17,0.24009999999999992,0.0,0.0,0.0,-0.047620970247870265,-0.028572582148722166,-0.017289510406336195,-0.008644755203168115,0.2844702327416063,0.20978980807726147,0.07468042466434485,0.7735316047453202,0.06853703723127148,0.0,-0.044370232741606175,-0.044370232741606584
5,-0.0443702327416065,-0.04437023274160608,2.0443483515676652e-16,8.223567573458668e-17,0.16806999999999994,0.0,0.0,0.0,-0.04127882601813844,-0.024767295610883068,-0.014986899432899827,-0.00749344971644993,0.21040277497290094,0.15763720641731702,0.05276556855558388,0.5449669182541707,0.04166109936642326,0.0,-0.042332774972900805,-0.042332774972901166
6,-0.042332774972901104,-0.042332774972900736,1.7172526153168384e-16,6.90779676170528e-17,0.11764899999999995,0.0,0.0,0.0,-0.035781326347754286,-0.021468795808652578,-0.012990949386833995,-0.006495474693417012,0.15705413880843838,0.11969413050903302,0.03736000829940533,0.3845062021386095,0.023688949280679304,0.0,-0.03940513880843827,-0.03940513880843857
7,-0.03940513880843851,-0.0394051388084382,1.4024229691754178e-16,5.641367355392643e-17,0.08235429999999996,0.0,0.0,0.0,-0.031015981768520107,-0.018609589061112066,-0.011260819272651124,-0.005630409636325573,0.11840863579039332,0.09188900253373394,0.026519633256659347,0.2717802518332811,0.011837445698288315,0.0,-0.036054335790393216,-0.036054335790393466
8,-0.03605433579039343,-0.03605433579039317,1.1219383753403339e-16,4.5130938843141137e-17,0.05764800999999997,0.0,0.0,0.0,-0.026885284120429162,-0.016131170472257497,-0.00976110728441647,-0.004880553642208245,0.09022865365837697,0.07134624342698516,0.018882410231391814,0.1925223687956558,0.004173306505387787,0.0,-0.03258064365837689,-0.03258064365837708
9,-0.03258064365837707,-0.03258064365837686,8.835264705805128e-17,3.5540614338973635e-17,0.04035360699999998,0.0,0.0,0.0,-0.023304711346259242,-0.01398282680775555,-0.008461126416378119,-0.004230563208189068,0.06952478010959928,0.05603086594952447,0.013493914160074807,0.1367387081433915,-0.0006438356100156558,0.0,-0.029171173109599213,-0.02917117310959937
10,-0.029171173109599366,-0.0291711731095992,6.871872548959542e-17,2.7642700041423932e-17,0.028247524899999984,0.0,0.0,0.0,-0.020200998006927328,-0.012120598804156398,-0.007334276547520952,-0.0036671382737604842,0.05418441709344708,0.04449923799868267,0.009685179094764415,0.09742737557688869,-0.003541029633838671,0.0,-0.02593689219344703,-0.02593689219344715
