h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.006287809197979588,-0.0037726855187873486,-0.0022828838218891447,-0.0011414419109445698,-2.829539821902533,-1.8909635505706588,-0.9385762713318738,-6.704116223799099,-0.953137268809863,0.0,2.829539821902533,-1.5477902308845648
1,-1.547790230884565,2.8295398219025323,-2.938364860077617e-16,0.6999999999999997,0.0,0.0,0.0,0.0,-0.0054504009592350345,-0.003270240575540775,-0.001978850149690253,-0.0009894250748451448,-1.9791893226795005,-1.3222505354737812,-0.656938787205719,-4.692419908612279,-0.6680298894349747,0.0,1.9791893226795003,-1.084941714271467
2,-1.0849417142714675,1.9791893226794997,-4.113710804108663e-16,0.4899999999999996,0.0,0.0,0.0,0.0,-0.004724518458030458,-0.0028347110748180304,-0.0017153075760503733,-0.0008576537880252005,-1.384142218147098,-0.9243410660610623,-0.4598011520860353,-3.284293943471681,-0.4683436785101104,0.0,1.3841422181470975,-0.7607495077185789
3,-0.7607495077185791,1.384142218147097,-4.3193963443140946e-16,0.3429999999999996,0.0,0.0,0.0,0.0,-0.004095308735488468,-0.0024571852412929585,-0.0014868635105676486,-0.0007434317552838382,-0.9677810877082499,-0.6459688222842769,-0.3218122654239727,-2.298659038742662,-0.3284670744829525,0.0,0.9677810877082494,-0.5336431203977233
4,-0.5336431203977234,0.9677810877082491,-4.031436588026487e-16,0.24009999999999962,0.0,0.0,0.0,0.0,-0.0035498969446209894,-0.0021299381667724826,-0.0012888435461515801,-0.000644421773075797,-0.6764772531794566,-0.4512507437406279,-0.22522650943882855,-1.6087607817059189,-0.2304700146753153,0.0,0.6764772531794562,-0.3745196924947244
5,-0.3745196924947245,0.6764772531794561,-3.527507014523175e-16,0.16806999999999966,0.0,0.0,0.0,0.0,-0.0030771229060771454,-0.0018462737436462234,-0.001117195811619856,-0.0005585979058099419,-0.47269368777584037,-0.3150716038119169,-0.15762208396392324,-1.125872028313738,-0.16179974793042431,0.0,0.47269368777584003,-0.26300417419608607
6,-0.2630041741960861,0.47269368777583975,-2.963105892199466e-16,0.11764899999999973,0.0,0.0,0.0,0.0,-0.002667312749304429,-0.0016003876495826186,-0.0009684080625827624,-0.00048420403129138465,-0.33015711476749654,-0.2198532712220826,-0.11030384354541392,-0.7878845967529569,-0.1136678685317203,0.0,0.33015711476749626,-0.1848313886128518
7,-0.18483138861285184,0.33015711476749615,-2.4198698119628963e-16,0.08235429999999978,0.0,0.0,0.0,0.0,-0.002312080966460975,-0.0013872485798765502,-0.0008394358141349742,-0.00041971790706749404,-0.23047853059976342,-0.1532932448420761,-0.07718528575768728,-0.5513234696977667,-0.07992120966426965,0.0,0.23047853059976317,-0.13001342176648037
8,-0.13001342176648034,0.23047853059976314,-1.9358958495703167e-16,0.057648009999999826,0.0,0.0,0.0,0.0,-0.002004158828718204,-0.0012024952972308836,-0.0007276400448103619,-0.0003638200224051844,-0.1607876179384346,-0.10678167288054587,-0.05400594505788871,-0.38575675041349095,-0.056251442588910336,0.0,0.1607876179384344,-0.09155674871793598
9,-0.09155674871793597,0.16078761793843438,-1.5245179815366239e-16,0.04035360699999986,0.0,0.0,0.0,0.0,-0.0017372456540209955,-0.0010423473924125772,-0.0006307331971024156,-0.0003153665985512087,-0.11207687542149687,-0.07429330517450522,-0.037783570246991624,-0.2698826446213689,-0.03964177331112588,0.0,0.11207687542149672,-0.06456418123796248
