h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.10847496870178845,0.33491501877892677,0.05605605537688345,0.02802802768844175,0.05255147871205058,0.0506877945405422,0.0018636841715084186,0.013312029796488711,-0.03831156511615545,-0.4000000000000001,-0.05255147871205058,-0.05255147871205058
1,-0.0525514787120506,-0.05255147871205056,1.0592664877225437e-18,9.344047204062433e-18,5.501184647782819e-18,0.7,0.0,0.0,-0.10803197427768224,0.21518081543339052,0.027585033264335566,0.013792516632167788,0.0823387261809456,0.07905717449942615,0.003281551681519487,0.023439654867996346,-0.05233408356510901,-0.28,-0.0823387261809456,-0.08233872618094565
2,-0.08233872618094565,-0.08233872618094557,1.482973082811559e-18,1.3081666085687404e-17,7.701658506895945e-18,0.48999999999999994,0.0,0.0,-0.10344687845996178,0.1339318729240228,0.009207420814447373,0.00460371040722368,0.0971231078782364,0.0931123414834392,0.004010766394797218,0.02864833139140871,-0.05875163608771399,-0.196,-0.09712310787823639,-0.09712310787823644
3,-0.09712310787823646,-0.09712310787823636,1.557121736952135e-18,1.373574938997177e-17,8.086741432240743e-18,0.3429999999999999,0.0,0.0,-0.09653165464041695,0.07928100721574974,-0.002311513412321083,-0.0011557567061605553,0.10221344340027505,0.09792045404065255,0.004292989359622515,0.030664209711589396,-0.06029828493813316,-0.1372,-0.10221344340027504,-0.10221344340027509
4,-0.1022134434002751,-0.102213443400275,1.453313621155324e-18,1.282003276397365e-17,7.547625336758026e-18,0.24009999999999992,0.0,0.0,-0.08847885929438262,0.04295268442337036,-0.009208552052194823,-0.00460427602609743,0.10121830265114232,0.0969255893137054,0.004292713337436955,0.03066223812454968,-0.05882760024953763,-0.09603999999999999,-0.1012183026511423,-0.10121830265114236
5,-0.10121830265114237,-0.10121830265114228,1.2716494185109069e-18,1.121752866847694e-17,6.604172169663272e-18,0.16806999999999994,0.0,0.0,-0.08005755538930082,0.01919346676641946,-0.01302557993117917,-0.006512789965589604,0.09657041138871131,0.0924493761545252,0.004121035234186138,0.029435965958472417,-0.055584834866779995,-0.06722799999999998,-0.0965704113887113,-0.09657041138871135
6,-0.09657041138871136,-0.09657041138871127,1.0681855115491603e-18,9.422724081520628e-18,5.547504622517148e-18,0.11764899999999995,0.0,0.0,-0.0717491138781596,0.004010131673104194,-0.014821231476730744,-0.007410615738365391,0.08989182655746407,0.08603961258566134,0.003852213971802742,0.027515814084305302,-0.051396377670048496,-0.047059599999999986,-0.08989182655746407,-0.08989182655746411
7,-0.08989182655746411,-0.08989182655746403,8.723515010984796e-19,7.695224666575177e-18,4.5304621083890045e-18,0.08235429999999996,0.0,0.0,-0.06384110896466758,-0.00536294537880058,-0.015318620651857361,-0.007659310325928699,0.08224790465198326,0.07871271545286446,0.003535189199118825,0.025251351422277322,-0.046801444219141744,-0.03294171999999999,-0.08224790465198326,-0.08224790465198328
8,-0.0822479046519833,-0.08224790465198323,6.978812008787827e-19,6.15617973326014e-18,3.624369686711203e-18,0.05764800999999997,0.0,0.0,-0.0564920342668485,-0.010836016560109124,-0.015008385023747725,-0.007504192511873881,0.07432364553026757,0.07112206337770641,0.003201582152561169,0.022868443946865494,-0.042143456937401805,-0.023059203999999993,-0.07432364553026757,-0.0743236455302676
9,-0.0743236455302676,-0.07432364553026755,5.495814456920406e-19,4.84799153994236e-18,2.854191128285072e-18,0.04035360699999998,0.0,0.0,-0.04977572819050182,-0.013723994114301115,-0.014220498588220505,-0.007110249294110269,0.06654589002702152,0.06367464771663235,0.0028712423103891818,0.020508873645637013,-0.037633314952234986,-0.016141442799999992,-0.06654589002702152,-0.06654589002702155
10,-0.06654589002702155,-0.0665458900270215,4.2745223553825324e-19,3.7706600866218344e-18,2.2199264331106116e-18,0.028247524899999984,0.0,0.0,-0.04371171240709393,-0.014928017484256371,-0.013174265077518121,-0.006587132538759076,0.05916778077669678,0.05661169748947521,0.00255608328722157,0.018257737765868358,-0.033393079426668575,-0.011299009959999995,-0.05916778077669678,-0.05916778077669679
