h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.567804983878105,-0.9406829903268629,0.1638040237824846,1.0819020118912426,-0.5968114217003937,-1.9758540552239987,1.379042633523604,9.850304525168598,-0.3653228909847029,-1.1879802205124872e-17,0.5968114217003937,0.5968114217003937
1,0.5968114217003943,0.5968114217003944,7.890181946739175e-16,-1.7664731830794802e-16,2.6437676686771296e-17,3.030511967712533e-18,-6.770380591446137e-18,0.7000000000000001,-0.7329191138577793,-0.4397514683146675,0.24701614187091653,0.8235080709354586,-0.9350962796367724,-1.877974234910063,0.9428779552732898,6.734842537666355,0.03405141812434819,-1.2033107149507494e-17,0.9350962796367732,0.935096279636774
2,0.9350962796367744,0.9350962796367736,1.1046254725434846e-15,-2.473062456311272e-16,3.7012747361479816e-17,4.242716754797546e-18,-9.47853282802459e-18,0.4900000000000001,-0.19704889770473744,-0.11822933862284242,0.28763785478241616,0.6338189273912086,-1.1029980794713428,-1.74355089461829,0.6405528151469468,4.57537725104962,0.27502097573852735,-1.1025246928799303e-17,1.1029980794713439,1.102998079471345
3,1.1029980794713452,1.1029980794713437,1.1598567461706588e-15,-2.596715579126835e-16,3.8863384729553804e-17,4.4548525925374234e-18,-9.952459469425816e-18,0.3430000000000001,0.13597621856100606,0.08158573113660372,0.3007938111254643,0.4933969055627326,-1.1608074970994573,-1.592324623715862,0.431517126616404,3.0822651901171723,0.4102469375212747,-9.539123197060352e-18,1.1608074970994584,1.1608074970994595
4,1.16080749709946,1.1608074970994584,1.082532963092615e-15,-2.4236012071850456e-16,3.627249241425022e-17,4.157862419701595e-18,-9.288962171464092e-18,0.2401000000000001,0.33261450203326126,0.19956870121995685,0.29675862209047654,0.3884793110452387,-1.149505981331725,-1.4369448459225695,0.28743886459084406,2.0531347470774586,0.475907604957297,-7.952401480772834e-18,1.149505981331726,1.1495059813317272
5,1.1495059813317274,1.149505981331726,9.47216342706038e-16,-2.1206510562869146e-16,3.173843086246894e-17,3.6381296172388955e-18,-8.127841900031078e-18,0.16807000000000008,0.4386403027393449,0.26318418164360696,0.28245351033915445,0.3092967551695776,-1.0967212707921874,-1.2852528545311785,0.18853158373899098,1.3466541695642222,0.4967344440738988,-6.459191706522394e-18,1.0967212707921883,1.0967212707921892
6,1.0967212707921892,1.096721270792188,7.956617278730718e-16,-1.781346887281008e-16,2.666028192447391e-17,3.0560288784806724e-18,-6.8273871960261045e-18,0.11764900000000007,0.48544863897146984,0.29126918338288194,0.2624884189374519,0.24889320946872628,-1.020874580922177,-1.1418592029175412,0.12098462199536394,0.8641758713954577,0.48952515756021897,-5.146191663552663e-18,1.020874580922178,1.0208745809221789
7,1.0208745809221789,1.0208745809221775,6.49790411096342e-16,-1.454766624612823e-16,2.1772563571653693e-17,2.4957569174258823e-18,-5.5756995434213176e-18,0.08235430000000006,0.49445516760138686,0.2966731005608322,0.2398866808388085,0.20229764041940457,-0.9340648467037815,-1.0092299051196287,0.07516505841584696,0.5368932743989074,0.46559231119724787,-4.039664392777756e-18,0.9340648467037822,0.9340648467037829
8,0.9340648467037831,0.9340648467037821,5.198323288770736e-16,-1.163813299690258e-16,1.7418050857322955e-17,1.996605533940706e-18,-4.460559634737053e-18,0.05764801000000005,0.4801646871042895,0.2880988122625737,0.21658812091650143,0.165942070458251,-0.8440714065901931,-0.8884311970731256,0.04435979048293237,0.3168556463066602,0.43246824989516164,-3.133896234748053e-18,0.8440714065901936,0.8440714065901942
9,0.8440714065901942,0.8440714065901933,4.093679589906955e-16,-9.165029735060782e-17,1.3716715050141827e-17,1.5723268579783063e-18,-3.512690712355429e-18,0.040353607000000034,0.45230914187503496,0.27138548512502103,0.19379761568750492,0.1372524148437527,-0.7557417642415011,-0.779637365135015,0.0238956008935138,0.17068286352509907,0.3950906313823148,-2.4080191761861734e-18,0.7557417642415015,0.755741764241502
