h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.08434937109797423,-0.05060962265878454,-0.0306243094539123,-0.015312154726956184,1.02303655841183,0.7190181606692284,0.30401839774260125,3.171559983875723,0.376062015338004,0.0,-0.023036558411829944,-0.023036558411829944
1,-0.023036558411829656,-0.023036558411829583,0.6999999999999998,0.0,0.0,0.0,0.0,0.0,-0.07311575123668118,-0.043869450742008716,-0.02654577458824913,-0.013272887294124595,0.7360941484751797,0.5224146408069679,0.21367950766821167,2.2262821976300833,0.25205817747522985,0.0,-0.03609414847517989,-0.03609414847517989
2,-0.03609414847517973,-0.036094148475179666,0.48999999999999977,0.0,0.0,0.0,0.0,0.0,-0.06337822095549252,-0.038026932573295515,-0.023010417575313174,-0.011505208787656611,0.5325750559757773,0.3822481887410646,0.15032686723471247,1.5637633373908033,0.1667451364408696,0.0,-0.04257505597577749,-0.04257505597577749
3,-0.042575055975777334,-0.042575055975777286,0.34299999999999975,0.0,0.0,0.0,0.0,0.0,-0.05493753156526493,-0.03296251893915896,-0.019945898177884135,-0.009972949088942088,0.38780646438640987,0.28192649158991834,0.10587997279649142,1.0992855199749387,0.10831726272165045,0.0,-0.044806464386410116,-0.044806464386410116
4,-0.04480646438641002,-0.044806464386409985,0.24009999999999976,0.0,0.0,0.0,0.0,0.0,-0.04762097024787063,-0.028572582148722384,-0.017289510406336327,-0.00864475520316818,0.2844702327416069,0.20978980807726202,0.07468042466434476,0.7735316047453196,0.06853703723127107,0.0,-0.04437023274160712,-0.04437023274160712
5,-0.04437023274160701,-0.04437023274160698,0.1680699999999998,0.0,0.0,0.0,0.0,0.0,-0.04127882601813881,-0.024767295610883287,-0.014986899432899959,-0.007493449716449995,0.21040277497290144,0.15763720641731754,0.05276556855558383,0.5449669182541701,0.04166109936642288,0.0,-0.04233277497290164,-0.04233277497290164
6,-0.042332774972901596,-0.04233277497290157,0.11764899999999984,0.0,0.0,0.0,0.0,0.0,-0.03578132634775463,-0.021468795808652782,-0.012990949386834122,-0.006495474693417074,0.15705413880843885,0.11969413050903352,0.03736000829940529,0.3845062021386091,0.023688949280678953,0.0,-0.039405138808439016,-0.039405138808439016
7,-0.039405138808438975,-0.039405138808438954,0.08235429999999987,0.0,0.0,0.0,0.0,0.0,-0.031015981768520433,-0.018609589061112264,-0.011260819272651242,-0.005630409636325632,0.11840863579039375,0.0918890025337344,0.026519633256659323,0.2717802518332807,0.011837445698287994,0.0,-0.03605433579039388,-0.03605433579039388
8,-0.03605433579039386,-0.03605433579039384,0.057648009999999895,0.0,0.0,0.0,0.0,0.0,-0.026885284120429457,-0.016131170472257678,-0.009761107284416577,-0.0048805536422083,0.09022865365837736,0.07134624342698556,0.018882410231391793,0.19252236879565557,0.004173306505387505,0.0,-0.03258064365837746,-0.03258064365837746
9,-0.03258064365837746,-0.03258064365837744,0.040353606999999916,0.0,0.0,0.0,0.0,0.0,-0.023304711346259513,-0.01398282680775571,-0.008461126416378218,-0.0042305632081891175,0.06952478010959964,0.05603086594952483,0.013493914160074798,0.13673870814339134,-0.0006438356100159047,0.0,-0.029171173109599727,-0.029171173109599727
10,-0.02917117310959972,-0.0291711731095997,0.028247524899999935,0.0,0.0,0.0,0.0,0.0,-0.020200998006927567,-0.012120598804156543,-0.00733427654752104,-0.003667138273760527,0.0541844170934474,0.04449923799868299,0.00968517909476441,0.09742737557688858,-0.0035410296338388913,0.0,-0.025936892193447466,-0.025936892193447466
11,-0.025936892193447462,-0.025936892193447456,0.01977326742999995,0.0,0.0,0.0,0.0,0.0,-0.017510636129007016,-0.010506381677404211,-0.0063575001516810595,-0.0031787500758405363,0.04271140138590216,0.03572422526380442,0.006987176122097735,0.06968166830212662,-0.00515749441892378,0.0,-0.02293813395590221,-0.02293813395590221
12,-0.022938133955902208,-0.022938133955902197,0.013841287200999962,0.0,0.0,0.0,0.0,0.0,-0.015178575708850384,-0.009107145425310232,-0.005510810495997151,-0.002755405247998581,0.03404338408782834,0.0289724515839533,0.005070932503875041,0.050062233657250245,-0.005932261623516201,0.0,-0.020202096886828377,-0.020202096886828377
13,-0.020202096886828374,-0.020202096886828367,0.009688901040699971,0.0,0.0,0.0,0.0,0.0,-0.013157098283120328,-0.007894258969872198,-0.004776882673728626,-0.002388441336864318,0.027423688635935903,0.02371808691185611,0.003705601724079791,0.03615748478412705,-0.006165353447240533,0.0,-0.017734787595235932,-0.017734787595235932
14,-0.017734787595235932,-0.01773478759523592,0.006782230728489978,0.0,0.0,0.0,0.0,0.0,-0.011404840516804921,-0.006842904310082953,-0.004140699103179712,-0.00207034955158986,0.022311344743715274,0.019582243795176923,0.002729100948538349,0.026275808932335328,-0.006060457674969107,0.0,-0.015529114015225297,-0.015529114015225297
15,-0.015529114015225293,-0.015529114015225286,0.004747561509942984,0.0,0.0,0.0,0.0,0.0,-0.009885947829440989,-0.0059315686976645935,-0.0035892422389537837,-0.0017946211194768955,0.018317881007936264,0.01629033379318685,0.002027547214749414,0.01923004161529594,-0.005754670729436551,0.0,-0.01357031949799328,-0.01357031949799328
16,-0.013570319497993281,-0.013570319497993274,0.003323293056960088,0.0,0.0,0.0,0.0,0.0,-0.008569340741102155,-0.005141604444661295,-0.0031112282078157184,-0.0015556141039078627,0.0151628793658054,0.013642025296923857,0.0015208540688815423,0.014186536406113961,-0.005339205573823198,0.0,-0.011839586308845313,-0.011839586308845313
17,-0.011839586308845311,-0.011839586308845306,0.002326305139872061,0.0,0.0,0.0,0.0,0.0,-0.007428078926172688,-0.004456847355703614,-0.002696875918837321,-0.0013484379594186633,0.012642689532443513,0.011490047858540521,0.001152641673902993,0.010559459953464865,-0.004873789956634733,0.0,-0.010316384392571452,-0.010316384392571452
18,-0.010316384392571452,-0.010316384392571449,0.0016284135979104423,0.0,0.0,0.0,0.0,0.0,-0.006438809962218196,-0.003863285977330918,-0.0023377069233731507,-0.0011688534616865777,0.010608378555566803,0.009725211204185217,0.0008831673513815879,0.007936751822064641,-0.0043966608528284564,0.0,-0.00897996495765636,-0.00897996495765636
19,-0.00897996495765636,-0.008979964957656357,0.0011398895185373093,0.0,0.0,0.0,0.0,0.0,-0.00558129149428971,-0.003348774896573827,-0.0020263719296150563,-0.0010131859648075303,0.008950165002613641,0.008265793705578738,0.0006843712970349041,0.00602825592592948,-0.00393148747339078,0.0,-0.007810275484076332,-0.007810275484076332
20,-0.007810275484076333,-0.0078102754840763304,0.0007979226629761163,0.0,0.0,0.0,0.0,0.0,-0.004837977037219327,-0.002902786222331597,-0.0017565004218779087,-0.0008782502109389563,0.007586409770681184,0.0070500060984846,0.0005364036721965853,0.004629377464380296,-0.0034921540081580284,0.0,-0.006788487107705068,-0.006788487107705068
