h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.024650572450235015,0.014790343470141014,0.008949761558450026,0.004474880779225023,-0.006732289105929293,-0.014559043688516045,0.007826754582586753,0.055905389875619674,-0.011222980912126835,0.3699999999999999,0.006732289105929293,0.006732289105929293
1,0.0067322891059293,0.006732289105929298,-7.289329459719901e-18,3.687996234680478e-18,3.325527346415181e-19,-2.3120598112504515e-17,0.6999999999999996,0.0,0.02136761779788133,0.012820570678728792,0.007757835431578705,0.0038789177157893613,-0.010548287562019896,-0.015773748830233185,0.005225461268213292,0.03732472334438066,-0.004587272665211002,0.2589999999999998,0.010548287562019889,0.010548287562019873
2,0.010548287562019877,0.010548287562019889,-1.0205061243607859e-17,5.1631947285526664e-18,4.655738284981251e-19,-3.236883735750631e-17,0.4899999999999995,0.0,0.018521885902571887,0.011113131541543123,0.0067246496110987975,0.003362324805549406,-0.0124422919607153,-0.015880577911661926,0.0034382859509466276,0.02455918536390448,-0.00037761639870048354,0.18129999999999974,0.01244229196071529,0.012442291960715267
3,0.012442291960715272,0.012442291960715291,-1.071531430578825e-17,5.4213544649802975e-18,4.888525199230311e-19,-3.3987279225381616e-17,0.34299999999999947,0.0,0.016055147589821954,0.009633088553893162,0.005829063118299331,0.0029145315591496716,-0.013094407014762059,-0.015310908096393792,0.002216501081631734,0.015832150583083814,0.0021917818453369964,0.12690999999999977,0.013094407014762048,0.013094407014762024
4,0.013094407014762027,0.013094407014762045,-1.0000960018735697e-17,5.0599308339816085e-18,4.562623519281621e-19,-3.172146061035617e-17,0.2400999999999995,0.0,0.01391692862632163,0.008350157175792966,0.005052750522649991,0.002526375261325001,-0.012966921064062893,-0.014353516702898292,0.0013865956388353978,0.009904254563109977,0.0036632562991574112,0.0888369999999998,0.012966921064062883,0.01296692106406286
5,0.012966921064062865,0.012966921064062883,-8.750840016393733e-18,4.427439479733905e-18,3.992295579371416e-19,-2.775627803406164e-17,0.16806999999999955,0.0,0.012063476919571454,0.007238086151742862,0.004379826968075169,0.0021899134840375895,-0.012371486863570395,-0.013199117357645411,0.0008276304940750158,0.005911646386250108,0.004409747738824007,0.06218589999999983,0.012371486863570386,0.012371486863570367
6,0.012371486863570369,0.012371486863570383,-7.350705613770734e-18,3.719049162976479e-18,3.353528286671988e-19,-2.331527354861177e-17,0.11764899999999963,0.0,0.010456867265510822,0.006274120359306486,0.003796523138098213,0.0018982615690491104,-0.011515903633480993,-0.011971301412242228,0.00045539777876123466,0.0032528412768659566,0.004686512917313872,0.043530129999999854,0.011515903633480986,0.01151590363348097
7,0.01151590363348097,0.01151590363348098,-6.003076251246098e-18,3.0372234830974564e-18,2.738714767448788e-19,-1.9040806731366274e-17,0.0823542999999997,0.0,0.009064225325545383,0.005438535195327223,0.003290903509014542,0.0016454517545072744,-0.010536652555641342,-0.01074799419477471,0.0002113416391333671,0.0015095831366669042,0.004667202451850617,0.030471090999999884,0.010536652555641337,0.010536652555641323
8,0.010536652555641323,0.010536652555641334,-4.802461000996877e-18,2.429778786477964e-18,2.190971813959029e-19,-1.5232645385093015e-17,0.05764800999999976,0.0,0.007857054954043614,0.004714232972426163,0.002852622126009037,0.0014263110630045217,-0.009521487908229542,-0.009576298646022802,5.481073779325932e-05,0.00039150526995184983,0.004469012439729827,0.02132976369999991,0.009521487908229537,0.009521487908229527
9,0.009521487908229525,0.009521487908229534,-3.78193803828504e-18,1.9134507943513956e-18,1.7253903034927346e-19,-1.1995708240760745e-17,0.040353606999999805,0.0,0.006810655112123095,0.004086393067273852,0.0024727109049250337,0.0012363554524625197,-0.008525091614035862,-0.008482733530042039,-4.2358083993825e-05,-0.00030255774281303814,0.004170201388982433,0.014930834589999928,0.008525091614035859,0.00852509161403585
