year,omega_swap
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
2014,
2015,
2016,-0.07452230271419553
2017,-0.04328510602923119
2018,-0.03808891236443511
2019,-0.013567215210588849
2020,-0.014823092512019048
2021,-0.018364398389468198
2022,0.0035632045018925166
2023,-0.029356445955705027
2024,-0.07470722039647813
2025,-0.11314942199175645
2026,-0.10366079588002358
